year,region,SSP1,SSP2,SSP3,SSP4,SSP5
y1965,REF,0.529562431956435,0.529562431956435,0.529562431956435,0.529562431956435,0.529562431956435
y1965,CAZ,0.767874940657596,0.767874940657596,0.767874940657596,0.767874940657596,0.767874940657596
y1965,CHA,0.196701809524324,0.196701809524324,0.196701809524324,0.196701809524324,0.196701809524324
y1965,IND,0.18785,0.18785,0.18785,0.18785,0.18785
y1965,JPN,0.67866,0.67866,0.67866,0.67866,0.67866
y1965,USA,0.71879,0.71879,0.71879,0.71879,0.71879
y1966,LAM,0.541022808483195,0.541022808483195,0.541022808483195,0.541022808483195,0.541022808483195
y1966,OAS,0.197280163313471,0.197280163313471,0.197280163313471,0.197280163313471,0.197280163313471
y1966,SSA,0.167600367286501,0.167600367286501,0.167600367286501,0.167600367286501,0.167600367286501
y1966,EUR,0.64040572864242,0.64040572864242,0.64040572864242,0.64040572864242,0.64040572864242
y1966,NEU,0.398159965334912,0.398159965334912,0.398159965334912,0.398159965334912,0.398159965334912
y1966,MEA,0.376248655879018,0.376248655879018,0.376248655879018,0.376248655879018,0.376248655879018
y1966,REF,0.536970389453524,0.536970389453524,0.536970389453524,0.536970389453524,0.536970389453524
y1966,CAZ,0.773671147185302,0.773671147185302,0.773671147185302,0.773671147185302,0.773671147185302
y1966,CHA,0.19508850362726,0.19508850362726,0.19508850362726,0.19508850362726,0.19508850362726
y1966,IND,0.18977,0.18977,0.18977,0.18977,0.18977
y1966,JPN,0.68704,0.68704,0.68704,0.68704,0.68704
y1966,USA,0.72247,0.72247,0.72247,0.72247,0.72247
y1967,LAM,0.548656069362094,0.548656069362094,0.548656069362094,0.548656069362094,0.548656069362094
y1967,OAS,0.201207113246348,0.201207113246348,0.201207113246348,0.201207113246348,0.201207113246348
y1967,SSA,0.171219857619082,0.171219857619082,0.171219857619082,0.171219857619082,0.171219857619082
y1967,EUR,0.644882830445028,0.644882830445028,0.644882830445028,0.644882830445028,0.644882830445028
y1967,NEU,0.406135230921634,0.406135230921634,0.406135230921634,0.406135230921634,0.406135230921634
y1967,MEA,0.383153566710555,0.383153566710555,0.383153566710555,0.383153566710555,0.383153566710555
y1967,REF,0.54433347139859,0.54433347139859,0.54433347139859,0.54433347139859,0.54433347139859
y1967,CAZ,0.777459619449228,0.777459619449228,0.777459619449228,0.777459619449228,0.777459619449228
y1967,CHA,0.193912713397976,0.193912713397976,0.193912713397976,0.193912713397976,0.193912713397976
y1967,IND,0.19171,0.19171,0.19171,0.19171,0.19171
y1967,JPN,0.69516,0.69516,0.69516,0.69516,0.69516
y1967,USA,0.72612,0.72612,0.72612,0.72612,0.72612
y1968,LAM,0.556299828427988,0.556299828427988,0.556299828427988,0.556299828427988,0.556299828427988
y1968,OAS,0.205599192059093,0.205599192059093,0.205599192059093,0.205599192059093,0.205599192059093
y1968,SSA,0.17492569797775,0.17492569797775,0.17492569797775,0.17492569797775,0.17492569797775
y1968,EUR,0.649066227181383,0.649066227181383,0.649066227181383,0.649066227181383,0.649066227181383
y1968,NEU,0.414200891811229,0.414200891811229,0.414200891811229,0.414200891811229,0.414200891811229
y1968,MEA,0.390109386752099,0.390109386752099,0.390109386752099,0.390109386752099,0.390109386752099
y1968,REF,0.551655493394666,0.551655493394666,0.551655493394666,0.551655493394666,0.551655493394666
y1968,CAZ,0.781326250073085,0.781326250073085,0.781326250073085,0.781326250073085,0.781326250073085
